,weekday_price,weekday_distance,weekday,weekend_price,weekend_dist,weekend
01,1915.0,466.92000000000019,4.1013449841514591,974.0,218.49000000000001,4.4578699253970431
02,1523.0,405.58999999999997,3.7550235459454129,761.0,187.55999999999995,4.0573683088078489
03,885.0,234.12000000000003,3.7801127626858015,643.5,172.40999999999991,3.7323821124064747
04,1209.5,361.55999999999995,3.345226241840912,292.5,76.859999999999999,3.8056206088992974
05,1290.5,335.10000000000002,3.8510892270963888,255.0,83.029999999999987,3.0711790918944963
06,2324.5,629.88,3.6903854702483012,495.0,130.87,3.7823794605333534
07,3768.0,919.30999999999983,4.0987262185769771,364.5,107.22999999999999,3.399235288631913
08,4153.5,855.2600000000001,4.8564179313892843,328.0,79.150000000000006,4.144030322173089
09,3687.5,750.01999999999941,4.9165355590517628,352.0,83.740000000000009,4.2034869835204196
10,4183.5,860.05000000000018,4.864252078367536,541.5,131.5,4.1178707224334596
11,4451.0,939.32000000000073,4.7385342588255295,819.0,202.50000000000006,4.0444444444444434
12,4168.5699999999997,850.0699999999996,4.9037961579634635,855.5,198.00000000000003,4.3207070707070701
13,4114.0,808.76999999999964,5.086736649480077,587.0,114.2,5.1401050788091069
14,5055.5,941.36999999999989,5.3703644688061027,778.0,174.39999999999998,4.4610091743119273
15,4533.0,939.48000000000002,4.8250095797675305,841.5,201.20000000000005,4.182405566600397
16,3080.5,685.86000000000001,4.4914414020354005,578.5,124.99999999999999,4.6280000000000001
17,4353.5,926.52999999999997,4.6987145586219548,814.5,171.09999999999999,4.7603740502630041
18,5178.0,1070.2799999999995,4.8379863213364747,907.0,203.70000000000005,4.4526264113892973
19,5443.5,1173.0900000000004,4.6403089277037557,859.0,192.70000000000002,4.4577062791904511
20,4825.0,1066.96,4.522193896678413,835.5,188.09999999999999,4.4417862838915472
21,4713.0,1048.8000000000004,4.4937070938215085,787.5,192.49999999999997,4.0909090909090917
22,5170.5,1221.4900000000009,4.2329450097831307,736.0,179.79999999999998,4.0934371523915463
23,3891.5,938.94000000000005,4.1445672779943337,797.0,193.59999999999991,4.1167355371900847
24,3156.0,800.93000000000006,3.940419262607219,1055.5,263.24999999999994,4.0094966761633435
